symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,score,reasons
BIOCON,Healthcare,430.1,2.65,327.16,434.6,31.46,1.04,80.85,372.39,374.46,1.69,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
SOLARINDS,Chemicals,17314.0,3.89,11646.0,17809.34,48.67,2.78,73.65,14575.52,13859.98,3.78,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
JPPOWER,Power,19.54,9.41,13.15,27.7,48.59,29.46,59.42,16.86,17.55,4.95,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
HINDCOPPER,Metals & Mining,570.25,-5.97,221.11,758.83,157.9,24.85,54.63,532.11,422.54,1.36,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
HINDALCO,Metals & Mining,1067.5,-3.24,613.5,1105.0,74.0,3.39,58.13,981.84,858.31,1.57,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
WELSPUNLIV,Textiles,141.02,5.06,107.1,152.85,31.67,7.74,70.74,123.35,126.65,5.02,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
IDEA,Telecommunication,12.95,-0.15,6.12,13.33,111.6,2.85,81.47,9.91,9.57,2.21,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
KIRLOSENG,Capital Goods,1740.2,8.99,727.53,1775.0,139.19,1.96,61.75,1532.04,1180.19,4.44,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
SBIN,Financial Services,963.2,0.07,765.07,1212.84,25.9,20.58,33.97,1046.18,959.02,1.45,Bearish,55,"RSI weak/oversold, Volume expansion, Above 200 DMA"
SAREGAMA,Media Entertainment & Publication,415.75,8.11,307.05,596.52,35.4,30.3,73.46,340.24,394.42,13.62,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
SAILIFE,Healthcare,1090.9,-1.94,707.0,1139.4,54.3,4.26,58.62,1019.84,915.7,7.59,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ENRIN,Capital Goods,3086.1,-0.6,2111.59,3619.16,46.15,14.73,50.67,2948.76,3003.01,1.31,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
CARBORUNIV,Capital Goods,1102.4,6.27,735.2,1123.9,49.95,1.91,77.04,880.26,880.41,8.4,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
JSWSTEEL,Metals & Mining,1278.8,-1.4,959.57,1314.0,33.27,2.68,56.83,1215.43,1161.08,1.94,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
CAPLIPOINT,Healthcare,1998.8,-1.24,1500.3,2395.0,33.23,16.54,72.1,1704.78,1902.79,1.94,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
KPITTECH,Information Technology,703.7,-0.75,624.9,1424.24,12.61,50.59,40.84,708.91,1041.91,0.46,Bearish,45,"Near 52W low, RSI weak/oversold"
KEC,Construction,548.55,-1.31,501.05,941.06,9.48,41.71,43.23,557.93,708.97,0.51,Bearish,45,"Near 52W low, RSI weak/oversold"
UBL,Fast Moving Consumer Goods,1367.8,-1.54,1360.0,2123.76,0.57,35.6,28.3,1522.2,1671.92,0.77,Bearish,45,"Near 52W low, RSI weak/oversold"
JIOFIN,Financial Services,233.06,-0.46,223.3,338.07,4.37,31.06,41.97,240.41,284.44,0.39,Bearish,45,"Near 52W low, RSI weak/oversold"
ULTRACEMCO,Construction Materials,11487.0,-1.75,10325.0,13110.0,11.25,12.38,43.96,11529.8,12052.46,0.83,Bearish,45,"Near 52W low, RSI weak/oversold"
