relative_scan_time,symbol,return_1m,return_3m,return_6m,nifty_1m_return,nifty_3m_return,nifty_6m_return,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector,industry,sector_rank,sector_count,sector_rank_pct
10.09.2026 at 02:35 PM IST,JAIPURKURT,-10.95,-9.93,-18.49,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
10.09.2026 at 02:35 PM IST,BIGBLOC,-13.21,-17.92,-21.12,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
10.09.2026 at 02:35 PM IST,GOPAL,-5.16,-9.07,-7.89,,,,0,0,0,0,,Consumer Defensive,Packaged Foods,15.0,138,10.87
10.09.2026 at 02:35 PM IST,IPL,-4.74,-15.21,-10.08,,,,0,0,0,0,,Basic Materials,Agricultural Inputs,17.0,326,5.21
10.09.2026 at 02:35 PM IST,SRF,-2.26,-8.25,1.13,,,,0,0,0,10,Positive 6M return,Industrials,Conglomerates,15.0,414,3.62
10.09.2026 at 02:35 PM IST,WSI,3.64,-15.47,-13.98,,,,0,0,0,8,Positive 1M return,Industrials,Engineering & Construction,16.0,414,3.86
10.09.2026 at 02:35 PM IST,WIPRO,-9.15,-7.89,-14.84,,,,0,0,0,0,,Technology,Information Technology Services,14.0,153,9.15
10.09.2026 at 02:35 PM IST,GRMOVER,-4.84,-1.44,-44.72,,,,0,0,0,0,,Consumer Defensive,Packaged Foods,15.0,138,10.87
10.09.2026 at 02:35 PM IST,ABLBL,-7.31,-15.97,-16.78,,,,0,0,0,0,,Consumer Cyclical,Apparel Retail,17.0,372,4.57
10.09.2026 at 02:35 PM IST,FIBERWEB,-10.9,-4.85,-29.38,,,,0,0,0,0,,Consumer Cyclical,Textile Manufacturing,17.0,372,4.57
10.09.2026 at 02:35 PM IST,FINPIPE,-3.94,-9.69,-15.7,,,,0,0,0,0,,Industrials,Building Products & Equipment,17.0,414,4.11
10.09.2026 at 02:35 PM IST,ESSENTIA,-20.15,-30.52,-17.05,,,,0,0,0,0,,Consumer Defensive,Food Distribution,15.0,138,10.87
10.09.2026 at 02:35 PM IST,KARMAENG,-5.72,-10.05,-0.72,,,,0,0,0,0,,Utilities,Utilities - Renewable,10.0,38,26.32
10.09.2026 at 02:35 PM IST,NFL,-3.23,-8.03,-4.64,,,,0,0,0,0,,Basic Materials,Agricultural Inputs,17.0,326,5.21
10.09.2026 at 02:35 PM IST,SIGNATURE,-5.14,-0.44,-12.48,,,,0,0,0,0,,Real Estate,Real Estate - Development,13.0,67,19.4
10.09.2026 at 02:35 PM IST,KITEX,-6.09,-13.23,-25.01,,,,0,0,0,0,,Consumer Cyclical,Apparel Manufacturing,17.0,372,4.57
10.09.2026 at 02:35 PM IST,SHARDACROP,-2.49,-14.06,-24.12,,,,0,0,0,0,,Basic Materials,Agricultural Inputs,17.0,326,5.21
10.09.2026 at 02:35 PM IST,FLAIR,-3.79,-9.14,-19.52,,,,0,0,0,0,,Industrials,Business Equipment & Supplies,17.0,414,4.11
10.09.2026 at 02:35 PM IST,ABBOTINDIA,-10.15,-1.44,-3.03,,,,0,0,0,0,,Healthcare,Drug Manufacturers - Specialty & Generic,15.0,147,10.2
10.09.2026 at 02:35 PM IST,ADVANIHOTR,-5.77,-7.8,-3.76,,,,0,0,0,0,,Consumer Cyclical,Lodging,17.0,372,4.57
10.09.2026 at 02:35 PM IST,ADVENZYMES,1.46,-17.62,3.07,,,,0,0,0,18,"Positive 1M return, Positive 6M return",Basic Materials,Specialty Chemicals,13.0,326,3.99
10.09.2026 at 02:35 PM IST,ACC,-6.39,-6.16,-13.39,,,,0,0,0,0,,Basic Materials,Building Materials,17.0,326,5.21
10.09.2026 at 02:35 PM IST,JYOTHYLAB,-2.41,-3.1,-9.57,,,,0,0,0,0,,Consumer Defensive,Household & Personal Products,15.0,138,10.87
10.09.2026 at 02:35 PM IST,KALPATARU,-6.69,-16.87,-11.87,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
10.09.2026 at 02:35 PM IST,GRADIENTE,-1.53,18.43,,,,,0,0,0,10,Positive 3M return,Communication Services,Entertainment,11.0,63,17.46
10.09.2026 at 02:35 PM IST,WEIZMANIND,-7.07,-10.15,-10.61,,,,0,0,0,0,,Consumer Cyclical,Textile Manufacturing,17.0,372,4.57
10.09.2026 at 02:35 PM IST,SBGLP,-14.13,-15.56,-22.33,,,,0,0,0,0,,Real Estate,Real Estate - Development,13.0,67,19.4
10.09.2026 at 02:35 PM IST,NAVKARCORP,-6.64,-9.05,5.76,,,,0,0,0,10,Positive 6M return,Industrials,Integrated Freight & Logistics,15.0,414,3.62
10.09.2026 at 02:35 PM IST,PANSARI,-7.27,5.74,-1.63,,,,0,0,0,10,Positive 3M return,Real Estate,Real Estate - Development,11.0,67,16.42
10.09.2026 at 02:35 PM IST,KEI,-19.66,-15.35,6.76,,,,0,0,0,10,Positive 6M return,Industrials,Electrical Equipment & Parts,15.0,414,3.62
10.09.2026 at 02:35 PM IST,SPENCERS,-9.26,-21.87,-9.15,,,,0,0,0,0,,Consumer Cyclical,Department Stores,17.0,372,4.57
10.09.2026 at 02:35 PM IST,ATL,-0.36,0.0,5.68,,,,0,0,0,10,Positive 6M return,Industrials,Integrated Freight & Logistics,15.0,414,3.62
10.09.2026 at 02:35 PM IST,RAMAPHO,0.6,1.77,3.2,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Basic Materials,Agricultural Inputs,7.0,326,2.15
10.09.2026 at 02:35 PM IST,ZENITHEXPO,-18.36,1.67,11.1,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Consumer Cyclical,Textile Manufacturing,12.0,372,3.23
10.09.2026 at 02:35 PM IST,TREJHARA,-11.74,3.96,-14.06,,,,0,0,0,10,Positive 3M return,Technology,Software - Application,12.0,153,7.84
10.09.2026 at 02:35 PM IST,INSECTICID,-3.69,-14.74,3.66,,,,0,0,0,10,Positive 6M return,Basic Materials,Agricultural Inputs,15.0,326,4.6
10.09.2026 at 02:35 PM IST,HERANBA,0.22,-9.16,-5.85,,,,0,0,0,8,Positive 1M return,Basic Materials,Agricultural Inputs,16.0,326,4.91
10.09.2026 at 02:35 PM IST,SILGO,3.17,-5.59,-4.84,,,,0,0,0,8,Positive 1M return,Consumer Cyclical,Luxury Goods,16.0,372,4.3
10.09.2026 at 02:35 PM IST,ARIHANTCAP,2.49,6.51,7.85,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Financial Services,Capital Markets,7.0,215,3.26
10.09.2026 at 02:35 PM IST,DONEAR,2.19,-3.91,-5.42,,,,0,0,0,8,Positive 1M return,Consumer Cyclical,Textile Manufacturing,16.0,372,4.3
10.09.2026 at 02:35 PM IST,EFCIL,5.66,-1.28,-13.87,,,,0,0,0,8,Positive 1M return,Real Estate,Real Estate Services,12.0,67,17.91
10.09.2026 at 02:35 PM IST,FINKURVE,7.29,-5.42,12.37,,,,0,0,0,18,"Positive 1M return, Positive 6M return",Financial Services,Credit Services,12.0,215,5.58
10.09.2026 at 02:35 PM IST,JPOLYINVST,-4.88,-8.08,-30.09,,,,0,0,0,0,,Financial Services,Asset Management,16.0,215,7.44
10.09.2026 at 02:35 PM IST,LINC,0.6,-0.48,-4.5,,,,0,0,0,8,Positive 1M return,Industrials,Business Equipment & Supplies,16.0,414,3.86
10.09.2026 at 02:35 PM IST,ALGOQUANT,-4.5,13.64,15.83,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Financial Services,Capital Markets,11.0,215,5.12
10.09.2026 at 02:35 PM IST,RHIM,-8.57,3.3,-0.58,,,,0,0,0,10,Positive 3M return,Industrials,Metal Fabrication,15.0,414,3.62
10.09.2026 at 02:35 PM IST,LEXUS,-6.76,-11.12,-62.64,,,,0,0,0,0,,Industrials,Building Products & Equipment,17.0,414,4.11
10.09.2026 at 02:35 PM IST,LAXMICOT,-4.66,-6.34,0.08,,,,0,0,0,10,Positive 6M return,Consumer Cyclical,Textile Manufacturing,15.0,372,4.03
10.09.2026 at 02:35 PM IST,BAJAJHFL,-0.84,-2.61,1.84,,,,0,0,0,10,Positive 6M return,Financial Services,Mortgage Finance,14.0,215,6.51
10.09.2026 at 02:35 PM IST,AMAGI,-9.82,35.13,51.32,,,,0,0,0,40,"Strong 3M absolute return, Strong 6M absolute return",Technology,Software - Application,6.0,153,3.92
10.09.2026 at 02:35 PM IST,TEAMLEASE,1.07,-10.33,11.37,,,,0,0,0,18,"Positive 1M return, Positive 6M return",Industrials,Staffing & Employment Services,13.0,414,3.14
10.09.2026 at 02:35 PM IST,CELEBRITY,-2.17,-10.82,-16.65,,,,0,0,0,0,,Consumer Cyclical,Apparel Manufacturing,17.0,372,4.57
10.09.2026 at 02:35 PM IST,CHOLAHLDNG,-4.69,0.79,-2.15,,,,0,0,0,10,Positive 3M return,Financial Services,Credit Services,14.0,215,6.51
10.09.2026 at 02:35 PM IST,ELDEHSG,4.11,-1.79,-5.7,,,,0,0,0,8,Positive 1M return,Real Estate,Real Estate Services,12.0,67,17.91
10.09.2026 at 02:35 PM IST,AIROLAM,-5.32,1.15,-0.97,,,,0,0,0,10,Positive 3M return,Consumer Cyclical,"Furnishings, Fixtures & Appliances",15.0,372,4.03
10.09.2026 at 02:35 PM IST,AXISBANK,1.05,-9.09,0.76,,,,0,0,0,18,"Positive 1M return, Positive 6M return",Financial Services,Banks - Regional,12.0,215,5.58
10.09.2026 at 02:35 PM IST,BAJAJELEC,-7.21,6.33,-11.1,,,,0,0,0,10,Positive 3M return,Unknown,Unknown,12.0,97,12.37
10.09.2026 at 02:35 PM IST,RUBFILA,-1.37,-6.24,6.12,,,,0,0,0,10,Positive 6M return,Basic Materials,Specialty Chemicals,15.0,326,4.6
10.09.2026 at 02:35 PM IST,VIDYAWIRES,-3.23,-3.98,60.66,,,,0,0,0,20,Strong 6M absolute return,Industrials,Electrical Equipment & Parts,12.0,414,2.9
10.09.2026 at 02:35 PM IST,RKDL,-2.64,0.0,-0.81,,,,0,0,0,0,,Consumer Defensive,Beverages - Wineries & Distilleries,15.0,138,10.87
10.09.2026 at 02:35 PM IST,SAFARI,0.73,-1.44,-9.16,,,,0,0,0,8,Positive 1M return,Consumer Cyclical,Footwear & Accessories,16.0,372,4.3
10.09.2026 at 02:35 PM IST,VISHWARAJ,6.58,-4.71,6.38,,,,0,0,0,18,"Positive 1M return, Positive 6M return",Consumer Defensive,Confectioners,11.0,138,7.97
10.09.2026 at 02:35 PM IST,CCAVENUE,-6.39,13.85,3.22,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Technology,Software - Infrastructure,10.0,153,6.54
10.09.2026 at 02:35 PM IST,SUNDARAM,-0.81,-11.59,-10.95,,,,0,0,0,0,,Basic Materials,Paper & Paper Products,17.0,326,5.21
10.09.2026 at 02:35 PM IST,TORNTPOWER,-1.9,-6.57,-13.79,,,,0,0,0,0,,Utilities,Utilities - Independent Power Producers,10.0,38,26.32
10.09.2026 at 02:35 PM IST,MODINATUR,-8.36,-15.42,28.33,,,,0,0,0,10,Positive 6M return,Consumer Defensive,Packaged Foods,13.0,138,9.42
10.09.2026 at 02:35 PM IST,NAVA,-5.28,-6.68,-2.12,,,,0,0,0,0,,Industrials,Conglomerates,17.0,414,4.11
10.09.2026 at 02:35 PM IST,MURUDCERA,-0.29,-3.24,3.96,,,,0,0,0,10,Positive 6M return,Industrials,Building Products & Equipment,15.0,414,3.62
10.09.2026 at 02:35 PM IST,VEDL,-0.37,-9.95,-60.18,,,,0,0,0,0,,Basic Materials,Other Industrial Metals & Mining,17.0,326,5.21
10.09.2026 at 02:35 PM IST,TIRUMALCHM,-2.85,-8.01,-11.11,,,,0,0,0,0,,Basic Materials,Specialty Chemicals,17.0,326,5.21
