scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
29.08.2026 at 02:41 AM IST,RAJTV,Unknown,Unknown,10.43,-1.42,9.93,46.9,5.04,77.76,41.94,11.43,27.53,64458.1,11911.0,0.18,Bearish,0,8,20,0,20,8,8,"Weak but watchable RSI, Near 52W low with non-crashing RSI, Below 200 DMA risk, Very far from 52W high"
29.08.2026 at 02:41 AM IST,RAILTEL,Telecommunication,Unknown,279.05,-0.66,243.93,408.55,14.4,31.7,41.19,295.53,315.19,1196132.05,291964.0,0.24,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,YATRA,Unknown,Unknown,107.81,-4.5,89.9,202.0,19.92,46.63,43.16,111.23,128.59,2493024.15,779798.0,0.31,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,VMSTMT,Unknown,Unknown,46.26,-0.94,33.5,105.0,38.09,55.94,44.84,46.06,48.46,95386.0,11380.0,0.12,Bullish,15,8,0,0,15,8,8,"Above 50 DMA, Weak but watchable RSI, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,VISACHROME,Unknown,Unknown,37.21,-0.24,27.05,73.68,37.56,49.5,44.03,39.2,42.58,219714.1,4085526.0,18.59,Bearish,0,8,0,15,15,8,8,"Weak but watchable RSI, Strong volume expansion, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,DNAMEDIA,Unknown,Unknown,2.6,0.78,2.28,5.44,14.04,52.21,43.38,2.76,3.28,65953.85,8995.0,0.14,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,WEIZMANIND,Unknown,Unknown,75.6,-0.04,64.8,121.17,16.67,37.61,37.53,79.29,85.72,784.6,401.0,0.51,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,WEALTH,Unknown,Unknown,864.15,0.95,771.33,1283.77,12.03,32.69,37.42,941.43,932.8,1901.3,271.0,0.14,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,WILLAMAGOR,Unknown,Unknown,24.1,0.21,21.11,37.5,14.16,35.73,39.67,25.81,27.7,3325.9,90.0,0.03,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ZENSARTECH,Information Technology,Unknown,463.75,-1.72,412.97,845.39,12.3,45.14,36.77,483.36,564.2,747444.85,526320.0,0.7,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,NATHBIOGEN,Unknown,Unknown,153.86,0.69,126.15,204.0,21.97,24.58,41.88,160.98,157.4,17311.95,17896.0,1.03,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ARCHIES,Unknown,Unknown,13.4,-0.81,10.86,24.38,23.39,45.04,40.84,13.97,15.55,12080.4,12809.0,1.06,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,NILAINFRA,Unknown,Unknown,6.89,-1.15,5.9,11.55,16.78,40.35,34.2,7.37,8.2,204876.75,231587.0,1.13,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,WAAREERTL,Unknown,Unknown,874.95,-1.22,779.5,1358.0,12.25,35.57,32.87,952.34,951.3,97668.1,102752.0,1.05,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,SALZERELEC,Unknown,Unknown,544.75,-1.66,486.57,948.15,11.96,42.55,31.36,595.19,629.99,66024.9,68041.0,1.03,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,TATACOMM,Telecommunication,Unknown,1689.6,2.44,1310.58,2110.0,28.92,19.92,42.96,1816.42,1710.48,248684.7,290206.0,1.17,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
