symbol,company_name,series,isin,sector,industry
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,INE022C01012,Real Estate,Real Estate - Development
EVEREADY,Eveready Industries India Limited,EQ,INE128A01029,Unknown,Unknown
EVERESTIND,Everest Industries Limited,EQ,INE295A01018,Unknown,Unknown
EXCELINDUS,Excel Industries Limited,EQ,INE369A01029,Unknown,Unknown
EXCELSOFT,Excelsoft Technologies Limited,EQ,INE606N01019,Technology,Software - Application
EXICOM,Exicom Tele-Systems Limited,EQ,INE777F01014,Unknown,Unknown
EXIDEIND,Exide Industries Limited,EQ,INE302A01020,Unknown,Unknown
EXPLEOSOL,Expleo Solutions Limited,EQ,INE201K01015,Unknown,Unknown
EXXARO,Exxaro Tiles Limited,EQ,INE0GFE01026,Unknown,Unknown
FABTECH,Fabtech Technologies Limited,EQ,INE0HF201011,Healthcare,Health Information Services
FACT,Fertilizers and Chemicals Travancore Limited,EQ,INE188A01015,Basic Materials,Agricultural Inputs
FAIRCHEMOR,Fairchem Organics Limited,EQ,INE0DNW01011,Unknown,Unknown
FCL,Fineotex Chemical Limited,EQ,INE045J01034,Basic Materials,Specialty Chemicals
FDC,FDC Limited,EQ,INE258B01022,Unknown,Unknown
FEDDERSHOL,Fedders Holding Limited,EQ,INE417D01020,Unknown,Unknown
FEDERALBNK,The Federal Bank  Limited,EQ,INE171A01029,Financial Services,Banks - Regional
FEDFINA,Fedbank Financial Services Limited,EQ,INE007N01010,Financial Services,Credit Services
FERMENTA,Fermenta Biotech Limited,EQ,INE225B01021,Unknown,Unknown
FIEMIND,Fiem Industries Limited,EQ,INE737H01014,Consumer Cyclical,Auto Parts
FILATEX,Filatex India Limited,EQ,INE816B01035,Unknown,Unknown
FINCABLES,Finolex Cables Limited,EQ,INE235A01022,Industrials,Electrical Equipment & Parts
FINEORG,Fine Organic Industries Limited,EQ,INE686Y01026,Basic Materials,Specialty Chemicals
FINKURVE,Finkurve Financial Services Limited,EQ,INE734I01027,Financial Services,Credit Services
FINOPB,Fino Payments Bank Limited,EQ,INE02NC01014,Unknown,Unknown
FINPIPE,Finolex Industries Limited,EQ,INE183A01024,Unknown,Unknown
FIRSTCRY,Brainbees Solutions Limited,EQ,INE02RE01045,Unknown,Unknown
FISCHER,Fischer Medical Ventures Limited,EQ,INE771F01041,Unknown,Unknown
FIVESTAR,Five-Star Business Finance Limited,EQ,INE128S01021,Unknown,Unknown
FLAIR,Flair Writing Industries Limited,EQ,INE00Y201027,Industrials,Business Equipment & Supplies
FLEXITUFF,Flexituff Ventures International Limited,EQ,INE060J01017,Unknown,Unknown
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,INE09N301011,Basic Materials,Specialty Chemicals
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,INE529A01010,Unknown,Unknown
FMNL,Future Market Networks Limited,EQ,INE360L01017,Real Estate,Real Estate Services
FOCUS,Focus Lighting and Fixtures Limited,EQ,INE593W01028,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FOODSIN,Foods & Inns Limited,EQ,INE976E01023,Unknown,Unknown
FORCEMOT,FORCE MOTORS LTD,EQ,INE451A01017,Consumer Cyclical,Auto Manufacturers
FORTIS,Fortis Healthcare Limited,EQ,INE061F01013,Healthcare,Medical Care Facilities
FOSECOIND,Foseco India Limited,EQ,INE519A01011,Unknown,Unknown
FRACTAL,Fractal Analytics Limited,EQ,INE212S01015,Technology,Software - Infrastructure
FRONTSP,Frontier Springs Limited,EQ,INE572D01014,Unknown,Unknown
FSL,Firstsource Solutions Limited,EQ,INE684F01012,Unknown,Unknown
FUSION,Fusion Finance Limited,EQ,INE139R01012,Financial Services,Credit Services
GABRIEL,Gabriel India Limited,EQ,INE524A01029,Consumer Cyclical,Auto Parts
GAEL,Gujarat Ambuja Exports Limited,EQ,INE036B01030,Consumer Defensive,Packaged Foods
GAIL,GAIL (India) Limited,EQ,INE129A01019,Unknown,Unknown
GALAPREC,Gala Precision Engineering Limited,EQ,INE0RE001014,Industrials,Specialty Industrial Machinery
GALAXYSURF,Galaxy Surfactants Limited,EQ,INE600K01018,Unknown,Unknown
GALLANTT,Gallantt Ispat Limited,EQ,INE297H01019,Basic Materials,Steel
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,INE717W01049,Energy,Oil & Gas Refining & Marketing
GANDHITUBE,Gandhi Special Tubes Limited,EQ,INE524B01027,Industrials,Metal Fabrication
GANECOS,Ganesha Ecosphere Limited,EQ,INE845D01014,Unknown,Unknown
GANESHBE,Ganesh Benzoplast Limited,EQ,INE388A01029,Basic Materials,Specialty Chemicals
GANESHCP,Ganesh Consumer Products Limited,EQ,INE652V01016,Consumer Defensive,Packaged Foods
GANESHHOU,GANESH HOUSING LIMITED,EQ,INE460C01014,Real Estate,Real Estate - Development
GANGAFORGE,Ganga Forging Limited,EQ,INE691Z01023,Unknown,Unknown
GANGESSECU,Ganges Securities Limited,EQ,INE335W01016,Unknown,Unknown
GARFIBRES,Garware Technical Fibres Limited,EQ,INE276A01018,Consumer Cyclical,Textile Manufacturing
GARUDA,Garuda Construction and Engineering Limited,EQ,INE0JVO01026,Unknown,Unknown
GATECH,GACM Technologies Limited,EQ,INE224E01028,Unknown,Unknown
GATECHDVR,GACM Technologies Limited,EQ,INE224E01036,Financial Services,Asset Management
GATEWAY,Gateway Distriparks Limited,EQ,INE079J01017,Unknown,Unknown
GAYAHWS,Gayatri Highways Limited,EQ,INE287Z01012,Unknown,Unknown
GCSL,Gretex Corporate Services Limited,EQ,INE199P01028,Financial Services,Capital Markets
GEECEE,GeeCee Ventures Limited,EQ,INE916G01016,Unknown,Unknown
GEEKAYWIRE,Geekay Wires Limited,EQ,INE669X01032,Unknown,Unknown
GENCON,Generic Engineering Construction and Projects Limited,EQ,INE854S01022,Unknown,Unknown
GENESYS,Genesys International Corporation Limited,EQ,INE727B01026,Unknown,Unknown
GENUSPAPER,Genus Paper & Boards Limited,EQ,INE949P01018,Unknown,Unknown
GENUSPOWER,Genus Power Infrastructures Limited,EQ,INE955D01029,Industrials,Electrical Equipment & Parts
GEOJITFSL,Geojit Financial Services Limited,EQ,INE007B01023,Financial Services,Capital Markets
GESHIP,The Great Eastern Shipping Company Limited,EQ,INE017A01032,Industrials,Marine Shipping
GFLLIMITED,GFL Limited,EQ,INE538A01037,Unknown,Unknown
GHCL,GHCL Limited,EQ,INE539A01019,Unknown,Unknown
